,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,1811,1404,walking
1,41.1564238,-8.6249723,1956,1505,walking
2,41.1564238,-8.6249723,2368,1808,walking
3,41.1564238,-8.6249723,2224,1662,walking
4,41.1564238,-8.6249723,2892,2165,walking
5,41.1564238,-8.6249723,2728,2036,walking
6,41.1564238,-8.6249723,2796,2010,walking
7,41.1564238,-8.6249723,2720,2068,walking
8,41.1564238,-8.6249723,2119,1588,walking
9,41.1564238,-8.6249723,2543,1886,walking
10,41.1564238,-8.6249723,3109,2382,walking
11,41.1564238,-8.6249723,1791,1375,walking
12,41.1564238,-8.6249723,1933,1501,walking
13,41.1427507,-8.6125743,1077,940,walking
14,41.1427507,-8.6125743,662,604,walking
15,41.1427507,-8.6125743,812,680,walking
16,41.1427507,-8.6125743,704,632,walking
17,41.1427507,-8.6125743,486,461,walking
18,41.1427507,-8.6125743,430,368,walking
19,41.1427507,-8.6125743,3924,2946,walking
20,41.1427507,-8.6125743,325,254,walking
21,41.1427507,-8.6125743,857,757,walking
22,41.1427507,-8.6125743,245,218,walking
23,41.1427507,-8.6125743,1025,817,walking
24,41.1427507,-8.6125743,984,857,walking
25,41.1427507,-8.6125743,1000,865,walking
26,41.150854229226546,-8.61149108574201,590,449,walking
27,41.150854229226546,-8.61149108574201,687,494,walking
28,41.150854229226546,-8.61149108574201,622,452,walking
29,41.150854229226546,-8.61149108574201,611,437,walking
30,41.150854229226546,-8.61149108574201,1318,1065,walking
31,41.150854229226546,-8.61149108574201,1363,961,walking
32,41.150854229226546,-8.61149108574201,3959,2896,walking
33,41.150854229226546,-8.61149108574201,1006,739,walking
34,41.150854229226546,-8.61149108574201,553,409,walking
35,41.150854229226546,-8.61149108574201,1178,811,walking
36,41.150854229226546,-8.61149108574201,1364,1034,walking
37,41.150854229226546,-8.61149108574201,827,613,walking
38,41.150854229226546,-8.61149108574201,239,205,walking
39,41.16082365636554,-8.712886583743412,12194,9431,walking
40,41.16082365636554,-8.712886583743412,12339,9532,walking
41,41.16082365636554,-8.712886583743412,12846,9870,walking
42,41.16082365636554,-8.712886583743412,12497,9651,walking
43,41.16082365636554,-8.712886583743412,12951,9782,walking
44,41.16082365636554,-8.712886583743412,12802,9665,walking
45,41.16082365636554,-8.712886583743412,9198,7034,walking
46,41.16082365636554,-8.712886583743412,13199,10131,walking
47,41.16082365636554,-8.712886583743412,12392,9577,walking
48,41.16082365636554,-8.712886583743412,12822,9728,walking
49,41.16082365636554,-8.712886583743412,13588,10444,walking
50,41.16082365636554,-8.712886583743412,12154,9392,walking
