,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,1552,1229,walking
1,41.1564238,-8.6249723,2288,1817,walking
2,41.1564238,-8.6249723,1246,891,walking
3,41.1564238,-8.6249723,574,444,walking
4,41.1564238,-8.6249723,3853,3013,walking
5,41.1564238,-8.6249723,2813,2068,walking
6,41.1564238,-8.6249723,3217,2585,walking
7,41.1564238,-8.6249723,2148,1852,walking
8,41.1564238,-8.6249723,2336,1868,walking
9,41.1564238,-8.6249723,1529,1132,walking
10,41.1564238,-8.6249723,4058,3156,walking
11,41.1564238,-8.6249723,2172,1688,walking
12,41.1564238,-8.6249723,2875,2233,walking
13,41.1564238,-8.6249723,2168,1644,walking
14,41.1564238,-8.6249723,3665,2880,walking
15,41.1564238,-8.6249723,1707,1313,walking
16,41.1564238,-8.6249723,3113,2500,walking
17,41.1427507,-8.6125743,1533,1333,walking
18,41.1427507,-8.6125743,3206,2642,walking
19,41.1427507,-8.6125743,2406,1813,walking
20,41.1427507,-8.6125743,2717,2244,walking
21,41.1427507,-8.6125743,2428,1862,walking
22,41.1427507,-8.6125743,5007,3901,walking
23,41.1427507,-8.6125743,2944,2436,walking
24,41.1427507,-8.6125743,1869,1604,walking
25,41.1427507,-8.6125743,3182,2622,walking
26,41.1427507,-8.6125743,2962,2372,walking
27,41.1427507,-8.6125743,2700,2067,walking
28,41.1427507,-8.6125743,1092,931,walking
29,41.1427507,-8.6125743,1066,872,walking
30,41.1427507,-8.6125743,803,670,walking
31,41.1427507,-8.6125743,3750,3008,walking
32,41.1427507,-8.6125743,1221,1073,walking
33,41.1427507,-8.6125743,3199,2628,walking
34,41.150854229226546,-8.61149108574201,479,439,walking
35,41.150854229226546,-8.61149108574201,2061,1662,walking
36,41.150854229226546,-8.61149108574201,2261,1616,walking
37,41.150854229226546,-8.61149108574201,2048,1553,walking
38,41.150854229226546,-8.61149108574201,2243,1756,walking
39,41.150854229226546,-8.61149108574201,4277,3168,walking
40,41.150854229226546,-8.61149108574201,2396,1962,walking
41,41.150854229226546,-8.61149108574201,1243,1075,walking
42,41.150854229226546,-8.61149108574201,2036,1641,walking
43,41.150854229226546,-8.61149108574201,2692,2018,walking
44,41.150854229226546,-8.61149108574201,2448,1899,walking
45,41.150854229226546,-8.61149108574201,562,431,walking
46,41.150854229226546,-8.61149108574201,1177,923,walking
47,41.150854229226546,-8.61149108574201,367,239,walking
48,41.150854229226546,-8.61149108574201,2882,2305,walking
49,41.150854229226546,-8.61149108574201,349,299,walking
50,41.150854229226546,-8.61149108574201,2331,1926,walking
51,41.16082365636554,-8.712886583743412,12030,9291,walking
52,41.16082365636554,-8.712886583743412,11754,9081,walking
53,41.16082365636554,-8.712886583743412,11158,8522,walking
54,41.16082365636554,-8.712886583743412,10131,7801,walking
55,41.16082365636554,-8.712886583743412,14331,11075,walking
56,41.16082365636554,-8.712886583743412,8167,6285,walking
57,41.16082365636554,-8.712886583743412,13288,10309,walking
58,41.16082365636554,-8.712886583743412,12626,9914,walking
59,41.16082365636554,-8.712886583743412,11897,9202,walking
60,41.16082365636554,-8.712886583743412,9816,7588,walking
61,41.16082365636554,-8.712886583743412,14536,11219,walking
62,41.16082365636554,-8.712886583743412,12650,9751,walking
63,41.16082365636554,-8.712886583743412,13353,10296,walking
64,41.16082365636554,-8.712886583743412,12647,9706,walking
65,41.16082365636554,-8.712886583743412,13361,10321,walking
66,41.16082365636554,-8.712886583743412,12185,9375,walking
67,41.16082365636554,-8.712886583743412,13184,10224,walking
68,41.20441494400505,-8.713358515794797,11719,9028,walking
69,41.20441494400505,-8.713358515794797,11443,8818,walking
70,41.20441494400505,-8.713358515794797,10847,8259,walking
71,41.20441494400505,-8.713358515794797,9820,7538,walking
72,41.20441494400505,-8.713358515794797,14020,10812,walking
73,41.20441494400505,-8.713358515794797,7855,6022,walking
74,41.20441494400505,-8.713358515794797,12977,10046,walking
