,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,2285,1770,walking
1,41.1564238,-8.6249723,2104,1648,walking
2,41.1564238,-8.6249723,989,743,walking
3,41.1564238,-8.6249723,2101,1645,walking
4,41.1427507,-8.6125743,1009,826,walking
5,41.1427507,-8.6125743,1236,1046,walking
6,41.1427507,-8.6125743,3127,2557,walking
7,41.1427507,-8.6125743,1249,1057,walking
8,41.150854229226546,-8.61149108574201,663,514,walking
9,41.150854229226546,-8.61149108574201,494,390,walking
10,41.150854229226546,-8.61149108574201,2452,1843,walking
11,41.150854229226546,-8.61149108574201,492,388,walking
12,41.16082365636554,-8.712886583743412,12764,9833,walking
13,41.16082365636554,-8.712886583743412,12582,9710,walking
14,41.16082365636554,-8.712886583743412,9808,7559,walking
15,41.16082365636554,-8.712886583743412,12580,9707,walking
16,41.20441494400505,-8.713358515794797,12453,9570,walking
17,41.20441494400505,-8.713358515794797,12271,9447,walking
18,41.20441494400505,-8.713358515794797,9497,7296,walking
19,41.20441494400505,-8.713358515794797,12268,9445,walking
20,41.1404185646118,-8.613805075155247,1417,1272,walking
21,41.1404185646118,-8.613805075155247,1544,1376,walking
22,41.1404185646118,-8.613805075155247,3237,2668,walking
23,41.1404185646118,-8.613805075155247,1557,1386,walking
24,41.140582894587105,-8.614647448494276,1325,1200,walking
25,41.140582894587105,-8.614647448494276,1452,1304,walking
26,41.140582894587105,-8.614647448494276,3145,2597,walking
27,41.140582894587105,-8.614647448494276,1465,1315,walking
28,41.142145919582674,-8.61374925523519,1151,1033,walking
29,41.142145919582674,-8.61374925523519,1278,1137,walking
30,41.142145919582674,-8.61374925523519,3008,2458,walking
31,41.142145919582674,-8.61374925523519,1291,1148,walking
32,41.14214101346732,-8.613394163295458,1178,1060,walking
33,41.14214101346732,-8.613394163295458,1306,1164,walking
34,41.14214101346732,-8.613394163295458,3035,2487,walking
35,41.14214101346732,-8.613394163295458,1319,1175,walking
36,41.141764839822955,-8.613161057563643,1224,1112,walking
37,41.141764839822955,-8.613161057563643,1352,1217,walking
38,41.141764839822955,-8.613161057563643,3081,2539,walking
39,41.141764839822955,-8.613161057563643,1365,1227,walking
0,41.1564238,-8.6249723,2540,661,bicycling
1,41.1564238,-8.6249723,2133,606,bicycling
2,41.1564238,-8.6249723,989,290,bicycling
3,41.1564238,-8.6249723,2136,607,bicycling
4,41.1427507,-8.6125743,1009,420,bicycling
5,41.1427507,-8.6125743,1289,555,bicycling
6,41.1427507,-8.6125743,3846,1097,bicycling
7,41.1427507,-8.6125743,1662,588,bicycling
8,41.150854229226546,-8.61149108574201,816,228,bicycling
9,41.150854229226546,-8.61149108574201,944,320,bicycling
10,41.150854229226546,-8.61149108574201,2458,723,bicycling
11,41.150854229226546,-8.61149108574201,1235,348,bicycling
12,41.16082365636554,-8.712886583743412,15776,3436,bicycling
13,41.16082365636554,-8.712886583743412,15903,3527,bicycling
14,41.16082365636554,-8.712886583743412,11439,2534,bicycling
15,41.16082365636554,-8.712886583743412,16195,3556,bicycling
16,41.20441494400505,-8.713358515794797,15595,3400,bicycling
17,41.20441494400505,-8.713358515794797,15722,3492,bicycling
18,41.20441494400505,-8.713358515794797,11258,2498,bicycling
19,41.20441494400505,-8.713358515794797,16014,3520,bicycling
20,41.1404185646118,-8.613805075155247,1542,708,bicycling
21,41.1404185646118,-8.613805075155247,1551,849,bicycling
22,41.1404185646118,-8.613805075155247,3966,1282,bicycling
23,41.1404185646118,-8.613805075155247,1842,878,bicycling
24,41.140582894587105,-8.614647448494276,1331,730,bicycling
25,41.140582894587105,-8.614647448494276,1459,822,bicycling
26,41.140582894587105,-8.614647448494276,3919,1270,bicycling
27,41.140582894587105,-8.614647448494276,1750,850,bicycling
28,41.142145919582674,-8.61374925523519,1151,563,bicycling
29,41.142145919582674,-8.61374925523519,1278,654,bicycling
30,41.142145919582674,-8.61374925523519,4133,1266,bicycling
31,41.142145919582674,-8.61374925523519,1570,683,bicycling
32,41.14214101346732,-8.613394163295458,1178,574,bicycling
33,41.14214101346732,-8.613394163295458,1306,665,bicycling
34,41.14214101346732,-8.613394163295458,4189,1282,bicycling
35,41.14214101346732,-8.613394163295458,1597,693,bicycling
36,41.141764839822955,-8.613161057563643,1224,608,bicycling
37,41.141764839822955,-8.613161057563643,1352,700,bicycling
38,41.141764839822955,-8.613161057563643,4049,1252,bicycling
39,41.141764839822955,-8.613161057563643,1643,728,bicycling
0,41.1564238,-8.6249723,2556,477,driving
1,41.1564238,-8.6249723,2065,329,driving
2,41.1564238,-8.6249723,1319,272,driving
3,41.1564238,-8.6249723,2068,330,driving
4,41.1427507,-8.6125743,1170,331,driving
5,41.1427507,-8.6125743,1609,475,driving
6,41.1427507,-8.6125743,4222,797,driving
7,41.1427507,-8.6125743,1612,475,driving
8,41.150854229226546,-8.61149108574201,2134,494,driving
9,41.150854229226546,-8.61149108574201,1643,346,driving
10,41.150854229226546,-8.61149108574201,3022,632,driving
11,41.150854229226546,-8.61149108574201,1646,346,driving
