house_coords,distance (m),duration (s),travel_mode
"(41.1564238, -8.6249723)",2183,1714,walking
"(41.1564238, -8.6249723)",1139,843,walking
"(41.1564238, -8.6249723)",1785,1369,walking
"(41.1564238, -8.6249723)",1701,1419,walking
"(41.1564238, -8.6249723)",449,386,walking
"(41.1564238, -8.6249723)",968,723,walking
"(41.1427507, -8.6125743)",1231,1053,walking
"(41.1427507, -8.6125743)",3290,2661,walking
"(41.1427507, -8.6125743)",1106,935,walking
"(41.1427507, -8.6125743)",2392,2051,walking
"(41.1427507, -8.6125743)",2927,2360,walking
"(41.1427507, -8.6125743)",3119,2542,walking
"(41.150854229226546, -8.61149108574201)",573,457,walking
"(41.150854229226546, -8.61149108574201)",2602,1943,walking
"(41.150854229226546, -8.61149108574201)",39,32,walking
"(41.150854229226546, -8.61149108574201)",1247,1071,walking
"(41.150854229226546, -8.61149108574201)",1782,1380,walking
"(41.150854229226546, -8.61149108574201)",2431,1823,walking
"(41.16082365636554, -8.712886583743412)",12660,9776,walking
"(41.16082365636554, -8.712886583743412)",9568,7374,walking
"(41.16082365636554, -8.712886583743412)",12263,9431,walking
"(41.16082365636554, -8.712886583743412)",11920,9286,walking
"(41.16082365636554, -8.712886583743412)",10592,8200,walking
"(41.16082365636554, -8.712886583743412)",9739,7503,walking
"(41.20441494400505, -8.713358515794797)",12349,9513,walking
"(41.20441494400505, -8.713358515794797)",9257,7112,walking
"(41.20441494400505, -8.713358515794797)",11952,9168,walking
"(41.20441494400505, -8.713358515794797)",11609,9023,walking
"(41.20441494400505, -8.713358515794797)",10280,7937,walking
"(41.20441494400505, -8.713358515794797)",9428,7240,walking
"(41.1404185646118, -8.613805075155247)",1540,1383,walking
"(41.1404185646118, -8.613805075155247)",3400,2773,walking
"(41.1404185646118, -8.613805075155247)",1369,1221,walking
"(41.1404185646118, -8.613805075155247)",2655,2337,walking
"(41.1404185646118, -8.613805075155247)",2902,2406,walking
"(41.1404185646118, -8.613805075155247)",3229,2653,walking
"(41.140582894587105, -8.614647448494276)",1448,1311,walking
"(41.140582894587105, -8.614647448494276)",3308,2701,walking
"(41.140582894587105, -8.614647448494276)",1277,1149,walking
"(41.140582894587105, -8.614647448494276)",2564,2265,walking
"(41.140582894587105, -8.614647448494276)",2810,2334,walking
"(41.140582894587105, -8.614647448494276)",3137,2582,walking
"(41.142145919582674, -8.61374925523519)",1274,1144,walking
"(41.142145919582674, -8.61374925523519)",3171,2562,walking
"(41.142145919582674, -8.61374925523519)",1103,982,walking
"(41.142145919582674, -8.61374925523519)",2390,2098,walking
"(41.142145919582674, -8.61374925523519)",2673,2195,walking
"(41.142145919582674, -8.61374925523519)",3000,2443,walking
"(41.14214101346732, -8.613394163295458)",1301,1171,walking
"(41.14214101346732, -8.613394163295458)",3198,2591,walking
"(41.14214101346732, -8.613394163295458)",1131,1009,walking
"(41.14214101346732, -8.613394163295458)",2417,2125,walking
"(41.14214101346732, -8.613394163295458)",2700,2224,walking
"(41.14214101346732, -8.613394163295458)",3027,2472,walking
"(41.141764839822955, -8.613161057563643)",1347,1224,walking
"(41.141764839822955, -8.613161057563643)",3244,2643,walking
"(41.141764839822955, -8.613161057563643)",1177,1061,walking
"(41.141764839822955, -8.613161057563643)",2463,2178,walking
"(41.141764839822955, -8.613161057563643)",2746,2276,walking
"(41.141764839822955, -8.613161057563643)",3073,2524,walking
"(41.1564238, -8.6249723)",2350,639,bicycling
"(41.1564238, -8.6249723)",1139,309,bicycling
"(41.1564238, -8.6249723)",1786,543,bicycling
"(41.1564238, -8.6249723)",1760,667,bicycling
"(41.1564238, -8.6249723)",449,279,bicycling
"(41.1564238, -8.6249723)",968,285,bicycling
"(41.1427507, -8.6125743)",1342,523,bicycling
"(41.1427507, -8.6125743)",3997,1116,bicycling
"(41.1427507, -8.6125743)",1503,581,bicycling
"(41.1427507, -8.6125743)",3017,1192,bicycling
"(41.1427507, -8.6125743)",3177,1056,bicycling
"(41.1427507, -8.6125743)",3826,1092,bicycling
"(41.150854229226546, -8.61149108574201)",1149,332,bicycling
"(41.150854229226546, -8.61149108574201)",2608,742,bicycling
"(41.150854229226546, -8.61149108574201)",39,12,bicycling
"(41.150854229226546, -8.61149108574201)",1501,760,bicycling
"(41.150854229226546, -8.61149108574201)",1788,682,bicycling
"(41.150854229226546, -8.61149108574201)",2437,718,bicycling
"(41.16082365636554, -8.712886583743412)",15899,3523,bicycling
"(41.16082365636554, -8.712886583743412)",11429,2534,bicycling
"(41.16082365636554, -8.712886583743412)",14008,3108,bicycling
"(41.16082365636554, -8.712886583743412)",13857,3166,bicycling
"(41.16082365636554, -8.712886583743412)",12371,2759,bicycling
"(41.16082365636554, -8.712886583743412)",11477,2571,bicycling
"(41.20441494400505, -8.713358515794797)",15718,3487,bicycling
"(41.20441494400505, -8.713358515794797)",11248,2498,bicycling
"(41.20441494400505, -8.713358515794797)",13827,3072,bicycling
