house_coords,distance (m),duration (s),travel_mode
"(41.1564238, -8.6249723)",1647,1175,walking
"(41.1564238, -8.6249723)",2777,2235,walking
"(41.1564238, -8.6249723)",2795,2317,walking
"(41.1564238, -8.6249723)",1578,1229,walking
"(41.1564238, -8.6249723)",2331,1820,walking
"(41.1564238, -8.6249723)",2445,1764,walking
"(41.1564238, -8.6249723)",1003,794,walking
"(41.1564238, -8.6249723)",1523,1216,walking
"(41.1427507, -8.6125743)",2350,1713,walking
"(41.1427507, -8.6125743)",3232,2708,walking
"(41.1427507, -8.6125743)",2029,1687,walking
"(41.1427507, -8.6125743)",1350,1189,walking
"(41.1427507, -8.6125743)",3994,3198,walking
"(41.1427507, -8.6125743)",4585,3573,walking
"(41.1427507, -8.6125743)",3397,2716,walking
"(41.1427507, -8.6125743)",3588,2878,walking
"(41.150854229226546, -8.61149108574201)",2381,1670,walking
"(41.150854229226546, -8.61149108574201)",2178,1814,walking
"(41.150854229226546, -8.61149108574201)",1611,1304,walking
"(41.150854229226546, -8.61149108574201)",477,415,walking
"(41.150854229226546, -8.61149108574201)",2848,2217,walking
"(41.150854229226546, -8.61149108574201)",3908,2864,walking
"(41.150854229226546, -8.61149108574201)",2252,1735,walking
"(41.150854229226546, -8.61149108574201)",2442,1897,walking
"(41.16082365636554, -8.712886583743412)",10664,8084,walking
"(41.16082365636554, -8.712886583743412)",12415,9643,walking
"(41.16082365636554, -8.712886583743412)",13273,10379,walking
"(41.16082365636554, -8.712886583743412)",12056,9291,walking
"(41.16082365636554, -8.712886583743412)",11713,9020,walking
"(41.16082365636554, -8.712886583743412)",8261,6343,walking
"(41.16082365636554, -8.712886583743412)",10587,8148,walking
"(41.16082365636554, -8.712886583743412)",10988,8480,walking
"(41.20441494400505, -8.713358515794797)",10353,7821,walking
"(41.20441494400505, -8.713358515794797)",12104,9380,walking
"(41.20441494400505, -8.713358515794797)",12962,10116,walking
"(41.20441494400505, -8.713358515794797)",11745,9028,walking
"(41.20441494400505, -8.713358515794797)",11402,8757,walking
"(41.20441494400505, -8.713358515794797)",7950,6080,walking
"(41.20441494400505, -8.713358515794797)",10276,7885,walking
"(41.20441494400505, -8.713358515794797)",10677,8218,walking
"(41.1404185646118, -8.613805075155247)",2036,1474,walking
"(41.1404185646118, -8.613805075155247)",3506,3006,walking
"(41.1404185646118, -8.613805075155247)",2483,2149,walking
"(41.1404185646118, -8.613805075155247)",1528,1404,walking
"(41.1404185646118, -8.613805075155247)",4257,3483,walking
"(41.1404185646118, -8.613805075155247)",4695,3685,walking
"(41.1404185646118, -8.613805075155247)",3455,2815,walking
"(41.1404185646118, -8.613805075155247)",3851,3163,walking
"(41.140582894587105, -8.614647448494276)",1988,1432,walking
