house_coords,distance (m),duration (s),travel_mode
"(41.1564238, -8.6249723)",2438,1878,walking
"(41.1564238, -8.6249723)",1969,1454,walking
"(41.1564238, -8.6249723)",695,538,walking
"(41.1564238, -8.6249723)",714,537,walking
"(41.1564238, -8.6249723)",864,663,walking
"(41.1427507, -8.6125743)",857,710,walking
"(41.1427507, -8.6125743)",4109,3263,walking
"(41.1427507, -8.6125743)",3245,2566,walking
"(41.1427507, -8.6125743)",2086,1671,walking
"(41.1427507, -8.6125743)",2962,2410,walking
"(41.150854229226546, -8.61149108574201)",733,560,walking
"(41.150854229226546, -8.61149108574201)",3432,2554,walking
"(41.150854229226546, -8.61149108574201)",2100,1586,walking
"(41.150854229226546, -8.61149108574201)",1732,1249,walking
"(41.150854229226546, -8.61149108574201)",2338,1772,walking
"(41.16082365636554, -8.712886583743412)",12915,9940,walking
"(41.16082365636554, -8.712886583743412)",9320,7185,walking
"(41.16082365636554, -8.712886583743412)",10309,7946,walking
"(41.16082365636554, -8.712886583743412)",10878,8327,walking
"(41.16082365636554, -8.712886583743412)",9904,7638,walking
"(41.20441494400505, -8.713358515794797)",12604,9677,walking
"(41.20441494400505, -8.713358515794797)",9009,6922,walking
"(41.20441494400505, -8.713358515794797)",9998,7683,walking
"(41.20441494400505, -8.713358515794797)",10567,8064,walking
"(41.20441494400505, -8.713358515794797)",9593,7375,walking
"(41.1404185646118, -8.613805075155247)",1272,1156,walking
"(41.1404185646118, -8.613805075155247)",4220,3375,walking
"(41.1404185646118, -8.613805075155247)",3121,2584,walking
"(41.1404185646118, -8.613805075155247)",2196,1783,walking
"(41.1404185646118, -8.613805075155247)",3072,2522,walking
"(41.140582894587105, -8.614647448494276)",1180,1084,walking
"(41.140582894587105, -8.614647448494276)",4128,3303,walking
"(41.140582894587105, -8.614647448494276)",3029,2513,walking
"(41.140582894587105, -8.614647448494276)",2104,1711,walking
"(41.140582894587105, -8.614647448494276)",2980,2450,walking
"(41.142145919582674, -8.61374925523519)",1006,917,walking
"(41.142145919582674, -8.61374925523519)",3990,3164,walking
"(41.142145919582674, -8.61374925523519)",2892,2374,walking
"(41.142145919582674, -8.61374925523519)",1967,1572,walking
"(41.142145919582674, -8.61374925523519)",2843,2311,walking
"(41.14214101346732, -8.613394163295458)",1033,944,walking
"(41.14214101346732, -8.613394163295458)",4017,3193,walking
"(41.14214101346732, -8.613394163295458)",2919,2403,walking
"(41.14214101346732, -8.613394163295458)",1994,1601,walking
"(41.14214101346732, -8.613394163295458)",2870,2340,walking
"(41.141764839822955, -8.613161057563643)",1079,997,walking
"(41.141764839822955, -8.613161057563643)",4064,3245,walking
"(41.141764839822955, -8.613161057563643)",2965,2455,walking
"(41.141764839822955, -8.613161057563643)",2040,1654,walking
"(41.141764839822955, -8.613161057563643)",2916,2392,walking
"(41.1564238, -8.6249723)",2692,684,bicycling
"(41.1564238, -8.6249723)",1969,443,bicycling
"(41.1564238, -8.6249723)",695,285,bicycling
"(41.1564238, -8.6249723)",884,392,bicycling
"(41.1564238, -8.6249723)",1065,318,bicycling
