,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,0,0,walking
1,41.1564238,-8.6249723,2838,2167,walking
2,41.1564238,-8.6249723,1692,1308,walking
3,41.1564238,-8.6249723,10708,7838,walking
4,41.1564238,-8.6249723,10397,7628,walking
5,41.1564238,-8.6249723,2738,2014,walking
6,41.1564238,-8.6249723,2646,1949,walking
7,41.1564238,-8.6249723,2508,1838,walking
8,41.1564238,-8.6249723,2536,1880,walking
9,41.1564238,-8.6249723,2582,1917,walking
10,41.1427507,-8.6125743,2838,2272,walking
11,41.1427507,-8.6125743,0,0,walking
12,41.1427507,-8.6125743,1144,960,walking
13,41.1427507,-8.6125743,12848,9647,walking
14,41.1427507,-8.6125743,12537,9438,walking
15,41.1427507,-8.6125743,547,430,walking
16,41.1427507,-8.6125743,455,365,walking
17,41.1427507,-8.6125743,281,240,walking
18,41.1427507,-8.6125743,237,212,walking
19,41.1427507,-8.6125743,283,250,walking
20,41.150854229226546,-8.61149108574201,1692,1291,walking
21,41.150854229226546,-8.61149108574201,1146,859,walking
22,41.150854229226546,-8.61149108574201,0,0,walking
23,41.150854229226546,-8.61149108574201,12171,8938,walking
24,41.150854229226546,-8.61149108574201,11860,8728,walking
25,41.150854229226546,-8.61149108574201,1409,956,walking
26,41.150854229226546,-8.61149108574201,1317,891,walking
27,41.150854229226546,-8.61149108574201,1143,765,walking
28,41.150854229226546,-8.61149108574201,1170,805,walking
29,41.150854229226546,-8.61149108574201,1216,842,walking
30,41.16082365636554,-8.712886583743412,10708,8254,walking
31,41.16082365636554,-8.712886583743412,12870,9971,walking
32,41.16082365636554,-8.712886583743412,12171,9370,walking
33,41.16082365636554,-8.712886583743412,0,0,walking
34,41.16082365636554,-8.712886583743412,4067,3002,walking
35,41.16082365636554,-8.712886583743412,12701,9587,walking
36,41.16082365636554,-8.712886583743412,12654,9567,walking
37,41.16082365636554,-8.712886583743412,12806,9703,walking
38,41.16082365636554,-8.712886583743412,12830,9737,walking
39,41.16082365636554,-8.712886583743412,12784,9684,walking
40,41.20441494400505,-8.713358515794797,10397,7992,walking
41,41.20441494400505,-8.713358515794797,12559,9708,walking
42,41.20441494400505,-8.713358515794797,11860,9107,walking
43,41.20441494400505,-8.713358515794797,4067,2946,walking
44,41.20441494400505,-8.713358515794797,0,0,walking
45,41.20441494400505,-8.713358515794797,12390,9324,walking
46,41.20441494400505,-8.713358515794797,12343,9304,walking
47,41.20441494400505,-8.713358515794797,12495,9440,walking
48,41.20441494400505,-8.713358515794797,12519,9474,walking
49,41.20441494400505,-8.713358515794797,12473,9421,walking
50,41.1404185646118,-8.613805075155247,2714,2247,walking
51,41.1404185646118,-8.613805075155247,547,578,walking
52,41.1404185646118,-8.613805075155247,1408,1245,walking
53,41.1404185646118,-8.613805075155247,12701,9504,walking
54,41.1404185646118,-8.613805075155247,12390,9295,walking
55,41.1404185646118,-8.613805075155247,0,0,walking
56,41.1404185646118,-8.613805075155247,92,72,walking
57,41.1404185646118,-8.613805075155247,337,292,walking
58,41.1404185646118,-8.613805075155247,361,326,walking
59,41.1404185646118,-8.613805075155247,315,273,walking
