,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,464,390,walking
1,41.1564238,-8.6249723,1885,1384,walking
2,41.1564238,-8.6249723,2530,1983,walking
3,41.1564238,-8.6249723,4577,3555,walking
4,41.1427507,-8.6125743,2942,2364,walking
5,41.1427507,-8.6125743,3318,2625,walking
6,41.1427507,-8.6125743,1108,915,walking
7,41.1427507,-8.6125743,3689,2907,walking
8,41.150854229226546,-8.61149108574201,1796,1384,walking
9,41.150854229226546,-8.61149108574201,3047,2270,walking
10,41.150854229226546,-8.61149108574201,809,640,walking
11,41.150854229226546,-8.61149108574201,3285,2569,walking
12,41.16082365636554,-8.712886583743412,10530,8141,walking
13,41.16082365636554,-8.712886583743412,9460,7323,walking
14,41.16082365636554,-8.712886583743412,13009,10045,walking
15,41.16082365636554,-8.712886583743412,14657,11275,walking
16,41.20441494400505,-8.713358515794797,10219,7878,walking
17,41.20441494400505,-8.713358515794797,9149,7060,walking
18,41.20441494400505,-8.713358515794797,12698,9783,walking
19,41.20441494400505,-8.713358515794797,14346,11012,walking
20,41.1404185646118,-8.613805075155247,2917,2410,walking
21,41.1404185646118,-8.613805075155247,3343,2643,walking
22,41.1404185646118,-8.613805075155247,1563,1398,walking
23,41.1404185646118,-8.613805075155247,4159,3364,walking
24,41.140582894587105,-8.614647448494276,2825,2338,walking
25,41.140582894587105,-8.614647448494276,3295,2602,walking
26,41.140582894587105,-8.614647448494276,1471,1327,walking
27,41.140582894587105,-8.614647448494276,4080,3352,walking
28,41.142145919582674,-8.61374925523519,2688,2199,walking
29,41.142145919582674,-8.61374925523519,3199,2526,walking
30,41.142145919582674,-8.61374925523519,1297,1160,walking
31,41.142145919582674,-8.61374925523519,3907,3185,walking
32,41.14214101346732,-8.613394163295458,2715,2228,walking
33,41.14214101346732,-8.613394163295458,3226,2555,walking
34,41.14214101346732,-8.613394163295458,1324,1187,walking
35,41.14214101346732,-8.613394163295458,3889,3161,walking
36,41.141764839822955,-8.613161057563643,2761,2281,walking
37,41.141764839822955,-8.613161057563643,3272,2607,walking
38,41.141764839822955,-8.613161057563643,1371,1239,walking
39,41.141764839822955,-8.613161057563643,3935,3214,walking
0,41.1564238,-8.6249723,464,324,bicycling
1,41.1564238,-8.6249723,2273,525,bicycling
2,41.1564238,-8.6249723,2768,736,bicycling
3,41.1564238,-8.6249723,4659,1306,bicycling
4,41.1427507,-8.6125743,3191,1101,bicycling
5,41.1427507,-8.6125743,4780,1172,bicycling
6,41.1427507,-8.6125743,1156,479,bicycling
7,41.1427507,-8.6125743,3907,1151,bicycling
8,41.150854229226546,-8.61149108574201,1803,727,bicycling
9,41.150854229226546,-8.61149108574201,3407,772,bicycling
10,41.150854229226546,-8.61149108574201,962,286,bicycling
11,41.150854229226546,-8.61149108574201,3966,1092,bicycling
12,41.16082365636554,-8.712886583743412,12308,2701,bicycling
13,41.16082365636554,-8.712886583743412,11425,2544,bicycling
14,41.16082365636554,-8.712886583743412,15922,3493,bicycling
15,41.16082365636554,-8.712886583743412,16756,3805,bicycling
16,41.20441494400505,-8.713358515794797,12127,2665,bicycling
17,41.20441494400505,-8.713358515794797,11243,2508,bicycling
18,41.20441494400505,-8.713358515794797,15741,3457,bicycling
