,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,2776,2147,walking
1,41.1564238,-8.6249723,1146,880,walking
2,41.1564238,-8.6249723,1281,992,walking
3,41.1564238,-8.6249723,1897,1380,walking
4,41.1564238,-8.6249723,2751,2100,walking
5,41.1564238,-8.6249723,1782,1380,walking
6,41.1564238,-8.6249723,2750,2009,walking
7,41.1564238,-8.6249723,1109,827,walking
8,41.1564238,-8.6249723,1896,1372,walking
9,41.1564238,-8.6249723,1889,1462,walking
10,41.1564238,-8.6249723,2517,1835,walking
11,41.1564238,-8.6249723,2584,1883,walking
12,41.1564238,-8.6249723,2729,1992,walking
13,41.1564238,-8.6249723,2649,1933,walking
14,41.1564238,-8.6249723,1337,990,walking
15,41.1564238,-8.6249723,781,602,walking
16,41.1564238,-8.6249723,2056,1607,walking
17,41.1564238,-8.6249723,1661,1246,walking
18,41.1564238,-8.6249723,2036,1481,walking
19,41.1564238,-8.6249723,2797,2148,walking
20,41.1427507,-8.6125743,593,514,walking
21,41.1427507,-8.6125743,1745,1440,walking
22,41.1427507,-8.6125743,1550,1305,walking
23,41.1427507,-8.6125743,4040,3180,walking
24,41.1427507,-8.6125743,356,286,walking
25,41.1427507,-8.6125743,1005,883,walking
26,41.1427507,-8.6125743,4943,3842,walking
27,41.1427507,-8.6125743,3252,2628,walking
28,41.1427507,-8.6125743,4037,3181,walking
29,41.1427507,-8.6125743,1001,881,walking
30,41.1427507,-8.6125743,4711,3667,walking
31,41.1427507,-8.6125743,4727,3683,walking
32,41.1427507,-8.6125743,4922,3825,walking
33,41.1427507,-8.6125743,4842,3766,walking
34,41.1427507,-8.6125743,3479,2790,walking
35,41.1427507,-8.6125743,3097,2536,walking
36,41.1427507,-8.6125743,1105,947,walking
37,41.1427507,-8.6125743,986,859,walking
38,41.1427507,-8.6125743,4179,3282,walking
39,41.1427507,-8.6125743,406,343,walking
40,41.150854229226546,-8.61149108574201,1030,799,walking
41,41.150854229226546,-8.61149108574201,1686,1243,walking
42,41.150854229226546,-8.61149108574201,1591,1189,walking
43,41.150854229226546,-8.61149108574201,3371,2489,walking
44,41.150854229226546,-8.61149108574201,1037,771,walking
45,41.150854229226546,-8.61149108574201,669,508,walking
46,41.150854229226546,-8.61149108574201,4213,3109,walking
47,41.150854229226546,-8.61149108574201,2583,1936,walking
48,41.150854229226546,-8.61149108574201,3360,2472,walking
49,41.150854229226546,-8.61149108574201,528,404,walking
50,41.150854229226546,-8.61149108574201,3980,2935,walking
51,41.150854229226546,-8.61149108574201,4058,2992,walking
52,41.150854229226546,-8.61149108574201,4192,3092,walking
53,41.150854229226546,-8.61149108574201,4112,3033,walking
54,41.150854229226546,-8.61149108574201,2811,2099,walking
55,41.150854229226546,-8.61149108574201,2240,1690,walking
56,41.150854229226546,-8.61149108574201,447,350,walking
57,41.150854229226546,-8.61149108574201,1041,807,walking
58,41.150854229226546,-8.61149108574201,3510,2590,walking
59,41.150854229226546,-8.61149108574201,1082,818,walking
60,41.16082365636554,-8.712886583743412,13254,10209,walking
61,41.16082365636554,-8.712886583743412,11187,8591,walking
62,41.16082365636554,-8.712886583743412,11486,8862,walking
63,41.16082365636554,-8.712886583743412,8913,6860,walking
64,41.16082365636554,-8.712886583743412,13230,10162,walking
65,41.16082365636554,-8.712886583743412,12164,9407,walking
66,41.16082365636554,-8.712886583743412,8667,6639,walking
67,41.16082365636554,-8.712886583743412,9596,7398,walking
68,41.16082365636554,-8.712886583743412,8811,6770,walking
69,41.16082365636554,-8.712886583743412,12271,9489,walking
