index,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,1357,1042,walking
1,41.1427507,-8.6125743,1956,1602,walking
2,41.150854229226546,-8.61149108574201,1896,1405,walking
3,41.16082365636554,-8.712886583743412,11396,8754,walking
4,41.20441494400505,-8.713358515794797,11085,8491,walking
5,41.1404185646118,-8.613805075155247,2003,1675,walking
6,41.140582894587105,-8.614647448494276,1956,1633,walking
7,41.142145919582674,-8.61374925523519,1836,1503,walking
8,41.14214101346732,-8.613394163295458,1864,1532,walking
9,41.141764839822955,-8.613161057563643,1910,1584,walking
0,41.1564238,-8.6249723,2134,531,bicycling
1,41.1427507,-8.6125743,2664,698,bicycling
2,41.150854229226546,-8.61149108574201,1913,538,bicycling
3,41.16082365636554,-8.712886583743412,13394,2787,bicycling
4,41.20441494400505,-8.713358515794797,13213,2751,bicycling
5,41.1404185646118,-8.613805075155247,2003,641,bicycling
6,41.140582894587105,-8.614647448494276,1956,629,bicycling
7,41.142145919582674,-8.61374925523519,2170,625,bicycling
8,41.14214101346732,-8.613394163295458,2226,641,bicycling
9,41.141764839822955,-8.613161057563643,2086,611,bicycling
0,41.1564238,-8.6249723,2066,431,driving
1,41.1427507,-8.6125743,2656,584,driving
2,41.150854229226546,-8.61149108574201,2082,466,driving
3,41.16082365636554,-8.712886583743412,12189,1485,driving
4,41.20441494400505,-8.713358515794797,12195,1218,driving
5,41.1404185646118,-8.613805075155247,3459,710,driving
6,41.140582894587105,-8.614647448494276,3376,677,driving
7,41.142145919582674,-8.61374925523519,2614,552,driving
8,41.14214101346732,-8.613394163295458,2642,567,driving
9,41.141764839822955,-8.613161057563643,2688,579,driving
0,41.1564238,-8.6249723,1522,755,transit
1,41.1427507,-8.6125743,3512,1005,transit
2,41.150854229226546,-8.61149108574201,2206,699,transit
3,41.20441494400505,-8.713358515794797,11754,2807,transit
4,41.1404185646118,-8.613805075155247,3047,963,transit
5,41.140582894587105,-8.614647448494276,3000,922,transit
6,41.142145919582674,-8.61374925523519,3442,937,transit
7,41.14214101346732,-8.613394163295458,3470,964,transit
8,41.141764839822955,-8.613161057563643,3516,1016,transit
