,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,1317,1070,walking
1,41.1564238,-8.6249723,2208,1698,walking
2,41.1564238,-8.6249723,2599,2165,walking
3,41.1564238,-8.6249723,2388,1776,walking
4,41.1564238,-8.6249723,1128,888,walking
5,41.1564238,-8.6249723,1515,1129,walking
6,41.1564238,-8.6249723,2683,2182,walking
7,41.1564238,-8.6249723,1205,942,walking
8,41.1427507,-8.6125743,3381,2732,walking
9,41.1427507,-8.6125743,915,782,walking
10,41.1427507,-8.6125743,1987,1651,walking
11,41.1427507,-8.6125743,452,375,walking
12,41.1427507,-8.6125743,3497,2783,walking
13,41.1427507,-8.6125743,3802,3050,walking
14,41.1427507,-8.6125743,2831,2350,walking
15,41.1427507,-8.6125743,3574,2837,walking
16,41.150854229226546,-8.61149108574201,2236,1751,walking
17,41.150854229226546,-8.61149108574201,499,375,walking
18,41.150854229226546,-8.61149108574201,1460,1195,walking
19,41.150854229226546,-8.61149108574201,696,468,walking
20,41.150854229226546,-8.61149108574201,2351,1803,walking
21,41.150854229226546,-8.61149108574201,2978,2229,walking
22,41.150854229226546,-8.61149108574201,1901,1608,walking
23,41.150854229226546,-8.61149108574201,2428,1857,walking
24,41.16082365636554,-8.712886583743412,11066,8540,walking
25,41.16082365636554,-8.712886583743412,12687,9760,walking
26,41.16082365636554,-8.712886583743412,13077,10227,walking
27,41.16082365636554,-8.712886583743412,12867,9838,walking
28,41.16082365636554,-8.712886583743412,10591,8147,walking
29,41.16082365636554,-8.712886583743412,9958,7645,walking
30,41.16082365636554,-8.712886583743412,12754,9906,walking
31,41.16082365636554,-8.712886583743412,10514,8090,walking
32,41.20441494400505,-8.713358515794797,10755,8277,walking
33,41.20441494400505,-8.713358515794797,12376,9497,walking
34,41.20441494400505,-8.713358515794797,12766,9965,walking
35,41.20441494400505,-8.713358515794797,12556,9575,walking
36,41.20441494400505,-8.713358515794797,10280,7884,walking
37,41.20441494400505,-8.713358515794797,9647,7382,walking
38,41.20441494400505,-8.713358515794797,12443,9643,walking
39,41.20441494400505,-8.713358515794797,10203,7828,walking
40,41.1404185646118,-8.613805075155247,3645,3017,walking
41,41.1404185646118,-8.613805075155247,1224,1112,walking
42,41.1404185646118,-8.613805075155247,2426,2121,walking
43,41.1404185646118,-8.613805075155247,718,659,walking
44,41.1404185646118,-8.613805075155247,3581,2908,walking
45,41.1404185646118,-8.613805075155247,3912,3162,walking
46,41.1404185646118,-8.613805075155247,3120,2713,walking
47,41.1404185646118,-8.613805075155247,3658,2962,walking
48,41.140582894587105,-8.614647448494276,3553,2946,walking
