,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,1982,1582,walking
1,41.1564238,-8.6249723,1260,972,walking
2,41.1564238,-8.6249723,2237,1713,walking
3,41.1564238,-8.6249723,1190,893,walking
4,41.1564238,-8.6249723,1765,1356,walking
5,41.1564238,-8.6249723,2165,1641,walking
6,41.1564238,-8.6249723,1803,1393,walking
7,41.1564238,-8.6249723,3288,2580,walking
8,41.1564238,-8.6249723,2676,2022,walking
9,41.1564238,-8.6249723,3501,2796,walking
10,41.1564238,-8.6249723,3078,2445,walking
11,41.1564238,-8.6249723,1673,1241,walking
12,41.1564238,-8.6249723,3427,2742,walking
13,41.1564238,-8.6249723,1104,820,walking
14,41.1427507,-8.6125743,1411,1208,walking
15,41.1427507,-8.6125743,1893,1565,walking
16,41.1427507,-8.6125743,541,490,walking
17,41.1427507,-8.6125743,1342,1133,walking
18,41.1427507,-8.6125743,1086,923,walking
19,41.1427507,-8.6125743,769,680,walking
20,41.1427507,-8.6125743,978,860,walking
21,41.1427507,-8.6125743,1800,1438,walking
22,41.1427507,-8.6125743,173,147,walking
23,41.1427507,-8.6125743,2975,2495,walking
24,41.1427507,-8.6125743,1809,1500,walking
25,41.1427507,-8.6125743,1103,951,walking
26,41.1427507,-8.6125743,3211,2639,walking
27,41.1427507,-8.6125743,2538,2061,walking
28,41.150854229226546,-8.61149108574201,516,439,walking
29,41.150854229226546,-8.61149108574201,747,584,walking
30,41.150854229226546,-8.61149108574201,735,526,walking
31,41.150854229226546,-8.61149108574201,636,485,walking
32,41.150854229226546,-8.61149108574201,59,48,walking
33,41.150854229226546,-8.61149108574201,473,333,walking
34,41.150854229226546,-8.61149108574201,716,540,walking
35,41.150854229226546,-8.61149108574201,1678,1323,walking
36,41.150854229226546,-8.61149108574201,963,699,walking
37,41.150854229226546,-8.61149108574201,2535,2095,walking
38,41.150854229226546,-8.61149108574201,1469,1188,walking
39,41.150854229226546,-8.61149108574201,1145,835,walking
40,41.150854229226546,-8.61149108574201,2644,2168,walking
41,41.150854229226546,-8.61149108574201,2267,1706,walking
42,41.16082365636554,-8.712886583743412,12461,9645,walking
43,41.16082365636554,-8.712886583743412,11739,9034,walking
44,41.16082365636554,-8.712886583743412,12571,9704,walking
45,41.16082365636554,-8.712886583743412,11513,8891,walking
46,41.16082365636554,-8.712886583743412,12244,9418,walking
47,41.16082365636554,-8.712886583743412,12438,9609,walking
48,41.16082365636554,-8.712886583743412,12186,9420,walking
49,41.16082365636554,-8.712886583743412,13766,10642,walking
50,41.16082365636554,-8.712886583743412,12943,10003,walking
51,41.16082365636554,-8.712886583743412,13619,10565,walking
52,41.16082365636554,-8.712886583743412,13557,10507,walking
53,41.16082365636554,-8.712886583743412,11916,9175,walking
54,41.16082365636554,-8.712886583743412,13497,10467,walking
55,41.16082365636554,-8.712886583743412,10241,7902,walking
56,41.20441494400505,-8.713358515794797,12150,9382,walking
57,41.20441494400505,-8.713358515794797,11428,8771,walking
58,41.20441494400505,-8.713358515794797,12260,9441,walking
59,41.20441494400505,-8.713358515794797,11202,8628,walking
60,41.20441494400505,-8.713358515794797,11933,9155,walking
61,41.20441494400505,-8.713358515794797,12127,9346,walking
62,41.20441494400505,-8.713358515794797,11874,9158,walking
63,41.20441494400505,-8.713358515794797,13455,10379,walking
64,41.20441494400505,-8.713358515794797,12632,9740,walking
65,41.20441494400505,-8.713358515794797,13308,10302,walking
66,41.20441494400505,-8.713358515794797,13246,10244,walking
67,41.20441494400505,-8.713358515794797,11604,8912,walking
68,41.20441494400505,-8.713358515794797,13186,10204,walking
69,41.20441494400505,-8.713358515794797,9930,7639,walking
70,41.1404185646118,-8.613805075155247,1720,1538,walking
71,41.1404185646118,-8.613805075155247,1956,1704,walking
72,41.1404185646118,-8.613805075155247,704,710,walking
73,41.1404185646118,-8.613805075155247,1558,1375,walking
74,41.1404185646118,-8.613805075155247,1349,1208,walking
75,41.1404185646118,-8.613805075155247,977,939,walking
76,41.1404185646118,-8.613805075155247,1045,988,walking
77,41.1404185646118,-8.613805075155247,2209,1866,walking
78,41.1404185646118,-8.613805075155247,619,609,walking
79,41.1404185646118,-8.613805075155247,3502,3021,walking
80,41.1404185646118,-8.613805075155247,2264,1962,walking
81,41.1404185646118,-8.613805075155247,1213,1063,walking
82,41.1404185646118,-8.613805075155247,3663,3114,walking
83,41.1404185646118,-8.613805075155247,2816,2242,walking
84,41.140582894587105,-8.614647448494276,1628,1466,walking
85,41.140582894587105,-8.614647448494276,1864,1633,walking
86,41.140582894587105,-8.614647448494276,612,639,walking
87,41.140582894587105,-8.614647448494276,1466,1303,walking
88,41.140582894587105,-8.614647448494276,1257,1137,walking
89,41.140582894587105,-8.614647448494276,885,867,walking
90,41.140582894587105,-8.614647448494276,953,916,walking
91,41.140582894587105,-8.614647448494276,2148,1821,walking
92,41.140582894587105,-8.614647448494276,527,538,walking
93,41.140582894587105,-8.614647448494276,3410,2949,walking
94,41.140582894587105,-8.614647448494276,2200,1945,walking
95,41.140582894587105,-8.614647448494276,1121,991,walking
96,41.140582894587105,-8.614647448494276,3571,3043,walking
97,41.140582894587105,-8.614647448494276,2768,2201,walking
98,41.142145919582674,-8.61374925523519,1454,1299,walking
99,41.142145919582674,-8.61374925523519,1671,1483,walking
100,41.142145919582674,-8.61374925523519,439,472,walking
101,41.142145919582674,-8.61374925523519,1273,1153,walking
102,41.142145919582674,-8.61374925523519,1083,969,walking
103,41.142145919582674,-8.61374925523519,711,700,walking
104,41.142145919582674,-8.61374925523519,760,766,walking
105,41.142145919582674,-8.61374925523519,2057,1749,walking
106,41.142145919582674,-8.61374925523519,354,371,walking
107,41.142145919582674,-8.61374925523519,3236,2782,walking
108,41.142145919582674,-8.61374925523519,2026,1778,walking
109,41.142145919582674,-8.61374925523519,984,852,walking
110,41.142145919582674,-8.61374925523519,3397,2876,walking
111,41.142145919582674,-8.61374925523519,2418,1962,walking
112,41.14214101346732,-8.613394163295458,1481,1326,walking
113,41.14214101346732,-8.613394163295458,1665,1508,walking
114,41.14214101346732,-8.613394163295458,433,497,walking
115,41.14214101346732,-8.613394163295458,1267,1178,walking
116,41.14214101346732,-8.613394163295458,1110,996,walking
117,41.14214101346732,-8.613394163295458,705,725,walking
118,41.14214101346732,-8.613394163295458,754,791,walking
119,41.14214101346732,-8.613394163295458,1999,1686,walking
120,41.14214101346732,-8.613394163295458,309,331,walking
121,41.14214101346732,-8.613394163295458,3263,2809,walking
122,41.14214101346732,-8.613394163295458,2009,1754,walking
123,41.14214101346732,-8.613394163295458,1011,881,walking
124,41.14214101346732,-8.613394163295458,3424,2903,walking
125,41.14214101346732,-8.613394163295458,2446,1991,walking
126,41.141764839822955,-8.613161057563643,1527,1378,walking
127,41.141764839822955,-8.613161057563643,1711,1560,walking
128,41.141764839822955,-8.613161057563643,479,549,walking
129,41.141764839822955,-8.613161057563643,1313,1231,walking
130,41.141764839822955,-8.613161057563643,1157,1049,walking
131,41.141764839822955,-8.613161057563643,751,778,walking
132,41.141764839822955,-8.613161057563643,800,843,walking
133,41.141764839822955,-8.613161057563643,2045,1739,walking
134,41.141764839822955,-8.613161057563643,355,383,walking
135,41.141764839822955,-8.613161057563643,3309,2862,walking
136,41.141764839822955,-8.613161057563643,2055,1806,walking
137,41.141764839822955,-8.613161057563643,1057,933,walking
138,41.141764839822955,-8.613161057563643,3470,2955,walking
139,41.141764839822955,-8.613161057563643,2492,2043,walking
0,41.1564238,-8.6249723,2118,614,bicycling
1,41.1564238,-8.6249723,1323,348,bicycling
2,41.1564238,-8.6249723,2681,741,bicycling
3,41.1564238,-8.6249723,1212,296,bicycling
4,41.1564238,-8.6249723,1766,525,bicycling
5,41.1564238,-8.6249723,2277,645,bicycling
6,41.1564238,-8.6249723,2325,666,bicycling
7,41.1564238,-8.6249723,3608,979,bicycling
8,41.1564238,-8.6249723,2809,804,bicycling
9,41.1564238,-8.6249723,3572,1135,bicycling
10,41.1564238,-8.6249723,3464,1015,bicycling
11,41.1564238,-8.6249723,1975,480,bicycling
12,41.1564238,-8.6249723,3780,1121,bicycling
13,41.1564238,-8.6249723,1492,402,bicycling
14,41.1427507,-8.6125743,1644,596,bicycling
15,41.1427507,-8.6125743,1908,733,bicycling
16,41.1427507,-8.6125743,541,324,bicycling
