index,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,1247,927,walking
1,41.1564238,-8.6249723,2485,1967,walking
2,41.1564238,-8.6249723,2065,1623,walking
3,41.1564238,-8.6249723,2261,1755,walking
4,41.1564238,-8.6249723,1882,1370,walking
5,41.1564238,-8.6249723,2622,1920,walking
6,41.1564238,-8.6249723,316,241,walking
7,41.1564238,-8.6249723,2910,2243,walking
8,41.1564238,-8.6249723,1474,1241,walking
9,41.1564238,-8.6249723,1910,1392,walking
10,41.1427507,-8.6125743,3390,2728,walking
11,41.1427507,-8.6125743,1479,1258,walking
12,41.1427507,-8.6125743,1318,1119,walking
13,41.1427507,-8.6125743,1033,846,walking
14,41.1427507,-8.6125743,3668,2899,walking
15,41.1427507,-8.6125743,391,335,walking
16,41.1427507,-8.6125743,2288,1871,walking
17,41.1427507,-8.6125743,825,678,walking
18,41.1427507,-8.6125743,3113,2593,walking
19,41.1427507,-8.6125743,4053,3193,walking
20,41.150854229226546,-8.61149108574201,2721,2036,walking
21,41.150854229226546,-8.61149108574201,853,728,walking
22,41.150854229226546,-8.61149108574201,561,450,walking
23,41.150854229226546,-8.61149108574201,652,498,walking
24,41.150854229226546,-8.61149108574201,3356,2479,walking
25,41.150854229226546,-8.61149108574201,1301,870,walking
26,41.150854229226546,-8.61149108574201,1415,1047,walking
27,41.150854229226546,-8.61149108574201,1164,895,walking
28,41.150854229226546,-8.61149108574201,1967,1612,walking
29,41.150854229226546,-8.61149108574201,3384,2502,walking
30,41.16082365636554,-8.712886583743412,9650,7437,walking
31,41.16082365636554,-8.712886583743412,12962,10029,walking
32,41.16082365636554,-8.712886583743412,12543,9685,walking
33,41.16082365636554,-8.712886583743412,12739,9817,walking
34,41.16082365636554,-8.712886583743412,9464,7283,walking
35,41.16082365636554,-8.712886583743412,12676,9585,walking
36,41.16082365636554,-8.712886583743412,10818,8344,walking
37,41.16082365636554,-8.712886583743412,13387,10305,walking
38,41.16082365636554,-8.712886583743412,11433,8883,walking
39,41.16082365636554,-8.712886583743412,8810,6790,walking
40,41.20441494400505,-8.713358515794797,9339,7174,walking
41,41.20441494400505,-8.713358515794797,12651,9766,walking
42,41.20441494400505,-8.713358515794797,12232,9422,walking
43,41.20441494400505,-8.713358515794797,12428,9555,walking
44,41.20441494400505,-8.713358515794797,9153,7020,walking
45,41.20441494400505,-8.713358515794797,12365,9322,walking
