,house_lat,house_long,distance (m),duration (s),travel_mode
0,41.1564238,-8.6249723,1718,1337,walking
1,41.1564238,-8.6249723,988,749,walking
2,41.1564238,-8.6249723,946,713,walking
3,41.1564238,-8.6249723,631,487,walking
4,41.1564238,-8.6249723,2422,1776,walking
5,41.1427507,-8.6125743,1194,1000,walking
6,41.1427507,-8.6125743,3274,2671,walking
7,41.1427507,-8.6125743,2124,1718,walking
8,41.1427507,-8.6125743,2947,2421,walking
9,41.1427507,-8.6125743,4615,3609,walking
10,41.150854229226546,-8.61149108574201,140,106,walking
11,41.150854229226546,-8.61149108574201,2451,1849,walking
12,41.150854229226546,-8.61149108574201,979,737,walking
13,41.150854229226546,-8.61149108574201,2094,1587,walking
14,41.150854229226546,-8.61149108574201,3885,2876,walking
15,41.16082365636554,-8.712886583743412,12196,9399,walking
16,41.16082365636554,-8.712886583743412,10076,7777,walking
17,41.16082365636554,-8.712886583743412,11425,8775,walking
18,41.16082365636554,-8.712886583743412,10246,7895,walking
19,41.16082365636554,-8.712886583743412,8840,6785,walking
20,41.20441494400505,-8.713358515794797,11885,9136,walking
21,41.20441494400505,-8.713358515794797,9765,7514,walking
22,41.20441494400505,-8.713358515794797,11114,8512,walking
23,41.20441494400505,-8.713358515794797,9935,7632,walking
24,41.20441494400505,-8.713358515794797,8529,6522,walking
25,41.1404185646118,-8.613805075155247,1468,1297,walking
26,41.1404185646118,-8.613805075155247,3384,2782,walking
27,41.1404185646118,-8.613805075155247,2181,1829,walking
28,41.1404185646118,-8.613805075155247,3057,2533,walking
29,41.1404185646118,-8.613805075155247,4725,3720,walking
30,41.140582894587105,-8.614647448494276,1376,1226,walking
31,41.140582894587105,-8.614647448494276,3292,2711,walking
32,41.140582894587105,-8.614647448494276,2089,1757,walking
33,41.140582894587105,-8.614647448494276,2965,2461,walking
34,41.140582894587105,-8.614647448494276,4633,3649,walking
35,41.142145919582674,-8.61374925523519,1203,1059,walking
36,41.142145919582674,-8.61374925523519,3155,2572,walking
37,41.142145919582674,-8.61374925523519,1951,1618,walking
38,41.142145919582674,-8.61374925523519,2828,2322,walking
39,41.142145919582674,-8.61374925523519,4496,3510,walking
40,41.14214101346732,-8.613394163295458,1230,1086,walking
41,41.14214101346732,-8.613394163295458,3182,2600,walking
42,41.14214101346732,-8.613394163295458,1979,1647,walking
43,41.14214101346732,-8.613394163295458,2855,2351,walking
44,41.14214101346732,-8.613394163295458,4523,3539,walking
45,41.141764839822955,-8.613161057563643,1276,1138,walking
46,41.141764839822955,-8.613161057563643,3228,2653,walking
47,41.141764839822955,-8.613161057563643,2025,1699,walking
48,41.141764839822955,-8.613161057563643,2901,2404,walking
49,41.141764839822955,-8.613161057563643,4569,3591,walking
0,41.1564238,-8.6249723,1719,530,bicycling
1,41.1564238,-8.6249723,1427,399,bicycling
2,41.1564238,-8.6249723,968,253,bicycling
3,41.1564238,-8.6249723,631,238,bicycling
4,41.1564238,-8.6249723,2585,533,bicycling
5,41.1427507,-8.6125743,1589,602,bicycling
6,41.1427507,-8.6125743,4285,1206,bicycling
7,41.1427507,-8.6125743,2140,834,bicycling
8,41.1427507,-8.6125743,3489,1046,bicycling
9,41.1427507,-8.6125743,6069,1510,bicycling
10,41.150854229226546,-8.61149108574201,140,158,bicycling
11,41.150854229226546,-8.61149108574201,2897,832,bicycling
12,41.150854229226546,-8.61149108574201,1136,355,bicycling
13,41.150854229226546,-8.61149108574201,2101,672,bicycling
14,41.150854229226546,-8.61149108574201,4054,967,bicycling
15,41.16082365636554,-8.712886583743412,13941,3095,bicycling
16,41.16082365636554,-8.712886583743412,11877,2643,bicycling
17,41.16082365636554,-8.712886583743412,13190,2818,bicycling
18,41.16082365636554,-8.712886583743412,12209,2627,bicycling
19,41.16082365636554,-8.712886583743412,10709,2381,bicycling
20,41.20441494400505,-8.713358515794797,13760,3059,bicycling
21,41.20441494400505,-8.713358515794797,11696,2607,bicycling
22,41.20441494400505,-8.713358515794797,13009,2782,bicycling
23,41.20441494400505,-8.713358515794797,12028,2592,bicycling
24,41.20441494400505,-8.713358515794797,10528,2346,bicycling
25,41.1404185646118,-8.613805075155247,1851,896,bicycling
26,41.1404185646118,-8.613805075155247,4405,1391,bicycling
27,41.1404185646118,-8.613805075155247,3893,1241,bicycling
28,41.1404185646118,-8.613805075155247,3609,1230,bicycling
29,41.1404185646118,-8.613805075155247,5407,1453,bicycling
30,41.140582894587105,-8.614647448494276,1759,869,bicycling
31,41.140582894587105,-8.614647448494276,4357,1379,bicycling
32,41.140582894587105,-8.614647448494276,3845,1229,bicycling
33,41.140582894587105,-8.614647448494276,3561,1219,bicycling
34,41.140582894587105,-8.614647448494276,5360,1442,bicycling
35,41.142145919582674,-8.61374925523519,1579,701,bicycling
36,41.142145919582674,-8.61374925523519,4572,1375,bicycling
37,41.142145919582674,-8.61374925523519,2137,901,bicycling
38,41.142145919582674,-8.61374925523519,3776,1214,bicycling
39,41.142145919582674,-8.61374925523519,5574,1437,bicycling
40,41.14214101346732,-8.613394163295458,1606,712,bicycling
41,41.14214101346732,-8.613394163295458,4627,1390,bicycling
42,41.14214101346732,-8.613394163295458,2164,912,bicycling
43,41.14214101346732,-8.613394163295458,3831,1230,bicycling
44,41.14214101346732,-8.613394163295458,5630,1453,bicycling
45,41.141764839822955,-8.613161057563643,1652,747,bicycling
46,41.141764839822955,-8.613161057563643,4488,1361,bicycling
47,41.141764839822955,-8.613161057563643,2211,947,bicycling
48,41.141764839822955,-8.613161057563643,3692,1201,bicycling
49,41.141764839822955,-8.613161057563643,5491,1423,bicycling
